0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
857,4273,949,14,324,445,1754,5001,123,147,74,1753,383,1687,20,1411,481,383,1754,123,2006,1753,1827,4274,37,178,78,2841,436,78,1534,683,5,25,104,8488,227,1157,53,482,50,31,171,464,297,149,2,3094,42,50,116,35,2344,1001,8489,250,363,483,45,8490,52,112,12,326,5,983,9,36,80,397,2,8491,59,4275,176,371,16,286,964,2503,111,43,1082,1158,351,3407,152,6180,387,42,42,5,28,117,1269,53,20,291,120,243
5,1633,673,1534,106,673,118,116,1302,5002,508,729,3095,491,1341,12,816,47,416,858,114,465,94,229,4,120,190,984,662,174,2651,10,9,31,465,282,652,84,157,321,85,3096,7,321,44,25,127,69,12,36,254,51,508,1002,508,2504,391,507,1828,363,220,6,137,88,859,13,6,56,888,4276,6,2114,2843,7,817,124,176,169,9,76,574,147,47,484,81,52,14,36,94,26,275,108,157,3,4,20,253,190,433,317
1134,2,499,34,3,4,38,8497,3092,1373,32,9,76,1830,46,2,499,28,420,857,88,2505,776,52,144,55,3408,485,429,985,230,79,14,32,985,509,18,312,379,67,9,32,41,499,83,28,313,10,312,429,43,74,3806,3409,26,440,216,8498,238,446,847,407,216,216,10,42,9,574,74,2846,8499,143,7,262,19,3409,38,9,89,26,452,67,9,15,3,4,312,800,3,4,382,499,1453,3,4,38,18,57,312,379
318,70,397,986,65,271,70,283,3,258,99,2,499,140,283,495,23,2,2009,65,283,191,140,28,254,100,1537,790,10,61,358,8501,832,10,283,790,318,730,2654,181,848,119,145,224,8502,3,10,21,17,333,29,168,217,236,10,61,236,16,100,42,6187,2,333,1413,26,69,290,550,146,8503,28,100,42,1902,84,14,88,466,791,58,441,582,79,398,61,398,58,3098,29,860,1136,6188,8504,5011,764,230,146,348,12,427
162,1306,766,515,1188,2849,26,482,11,902,1343,47,5,6191,267,6191,21,17,102,105,1693,2,65,10,5,7,1189,159,3,83,283,575,989,318,434,1023,124,1496,2655,258,99,6192,98,277,264,1587,296,104,187,109,193,258,99,3,198,258,99,136,358,135,930,13,3,21,17,3,34,861,356,95,1636,950,19,2347,2656,5015,153,1214,1086,50,9,21,17,53,5,7,8511,212,1832,5,61,8,23,35,299,43,70,57,36,170
2223,4282,38,157,170,24,13,13,2873,233,93,247,322,9,70,95,552,13,6,137,19,163,95,552,621,137,206,45,1504,97,108,558,675,13,122,674,436,334,167,5,418,8643,21,17,8644,26,288,770,314,28,420,18,362,6,36,711,920,5,21,17,24,50,42,23,6248,23,274,364,401,401,256,605,314,95,301,314,3103,38,588,6,122,56,4313,5065,528,53,314,1648,51,13,14,74,2237,2026,8645,543,5,400,89,8646
111,105,161,106,59,634,1195,1495,1118,206,288,332,234,8676,2684,1382,8,5,182,846,3845,2,97,40,30,95,207,1597,3,969,5081,116,43,157,189,7,36,39,148,256,88,1834,6273,1833,20,974,114,904,244,135,60,161,18,67,15,27,90,297,219,5,824,559,2524,244,13,569,27,1163,410,225,71,877,905,437,134,9,7,4,86,33,4337,1605,134,2880,6274,6275,2527,351,59,259,5079,2,446,9,373,89,41,539,133,13
141,925,14,8,19,34,46,11,47,924,38,18,33,340,152,41,32,10,1072,22,1288,115,1254,130,114,821,2149,2249,531,1308,1545,5103,2250,401,87,86,25,618,27,19,128,109,96,142,6301,531,42,2376,1073,75,101,3150,7,729,224,195,2149,195,8708,1464,435,7,3856,65,48,87,396,1197,64,65,745,821,87,896,1552,2251,897,502,14,124,418,430,870,20,1830,2377,2,1199,2,41,2886,124,11,22,5094,93,10,37,22,512
599,195,181,5110,185,57,7,274,142,1609,853,1027,1096,5109,2895,57,2154,890,13,1054,156,1095,192,35,1304,572,53,183,7,169,111,1546,21,17,4,1655,139,35,1357,233,88,4,16,10,110,24,444,35,1357,318,187,171,1690,1216,402,3,112,994,1176,92,1773,166,21,17,62,621,552,1467,2154,2045,1423,403,185,5,30,69,1848,7,1262,36,880,6,8,19,861,1305,554,34,83,4,957,898,79,398,142,181,1117,1849,567,1119
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,26,231,20,85,253,456,38,18,244,652,112,41,70,809,66,142,14,518,189,2237,7,12,96,841,83,179,529,68,102,56,14,343,80,755,67,30,8731,941,3862,11,142,14,66,8,248,485,1647,455,1556,23,2698
